,Response,Concrete
222,Being interested in art and crafts and healthy living I would look for community organisations that have social activities/crafts that might interest me. I would ring up a couple of organisations to find out what they do and when they meet. Based on which organisation appeals to me the most I would go along to a meeting to see how I like it. If the activity appeals to me and I like the social interactions I would make the effort to go as regularly as possible.,High
703,"Iâ€™d think of who I wouldnâ€™t bother, what they mught be doing, I donâ€™t want to interrupt, maybe Iâ€™ll phone later. Eventually push on even though Iâ€™m anxious about  their response and call or simply gove up only to try later and get through.",Low
106,"I would send a message to one of my close friends or family members asking them how they are and whether they would like to have a video chat or virtual movie night sometime in the next week (preferably a night later in the week so I would have more time to look forward to it).
If we decided on a movie night, together we would brainstorm (via a msg app) movies we could watch.
On the movie night, we would each watch the movie in our own homes and either msg each other through the course of the movie, or video chat during it. 
After the movie, we would catch up on how each of us is going, giving each of us a chance to vent if needed.
After this I would feel like I had spent quality time with someone I cared about, while doing something fun as well as giving and receiving emotional support. ",High
344,"I would phone a longtime friend I have fallout of touch with. Initially I would feel trepidatious then we would relax into catching up and an hour later our friendship that I had thought lost was alive. 
I would feel so happy to have that friend back in my life. What would follow would be text messages, photos sent online and general chitchat regularly. And a plan to meet when we are allowed. 
PS This is a true story!",Low
1097,feel confident and happy,Low
153,"I would ring or e-mail friends or relations, or someone who is living alone. This would take the focus off myself. I would concentrate on how they are feeling and try to help them. If possible I would meet them observing social distancing and this would also make them feel better if they could not only talk to someone but see them as well. After this I would feel much better after helping relations, friends or acquaintances with their problems instead of focussing on myself.",Low
737,I am feeling isolated and lonely. Over the weekend I will reach out to friends to connect via video chat or phone. I will also make contact with friends I have lost contact with recently. I will organise to have a coffee with my next door neighbour.,Medium
916,"If I feel lonely or isolated it can be difficult to have the energy or enthusiasm to engage with other people. It is often accompanied by low mood and it is an inward turning feedback loop.

I generally connect with people via the phone. I could look through my list of contacts, to see if there are friends that I have not spoken to in a while. I might start by using SMS or a messaging app, as that feels easier.

Often when calling people, they are not answering, but I generally donâ€™t leave messages because no one listens to them anyway. They will see a missed call if they could not answer. Talking on the phone too much can be tiresome also, so I would not do this solidly, but sporadically throughout the day.",Low
140,"Upon the realisation that I am feeling isolated and lonely, the first step will be to take a walk outside and reconnect with the world. While on that walk, I will smile at all persons I walk by. I will then return home and call my brothers and sister in laws. I will video call friends and continue to reconnect with those that I love and feel comfortable with. Video calling will allow me to feel closer and connected once again. ",High
1134,"I would firstly choose someone to talk to, In these moments of wanting to feel connected and less lonely, i prefer to talk to a person one-on-one as to connect with and focus on them well instead of vying for attention with many other people. 
I would pick someone whose energy aligns with how i feel, aiming for someone that active listens and helps me feel better when I'm not at my best). 
I then send a message to them via SMS, Whatsapp or Facebook Messenger to see if they were free at the moment or when they're free for time to talk. 
If they're available now, I'll call them (on video if they're comfortable) and send time catching up with them by sharing stories and antidotes of the current times. 
If they're not available now, I'll make time for when they are free to talk to them then. I would then try to contact another person so see if they're free and talk to them. ",Low
866,"With the wide circle of friends that I have, I never feel isolated or lonely myself, but I do know that some of those friends can, at times, feel that way, especially those with medical issues and disabilities. I always make it a rule to call one or two of them each day, for a chat and a catch up.
From their reactions, I know it cheers them up and it makes me feel that I am contributing, in some way, as well.",Low
476,I would think about some friends with whom I've lost touch or who  might get a lift by having a phone call from me.  I'd think about the time of day it might be best to catch them for a chat and ring them.  Before ringing I might think about how the conversation might go and what we might do to keep better connected in the future.,Low
333,"1. Consider why I am feeling this way. What has changed?
2. Identify whether this change is due to my actions.
3. Identify which people I would like to connect with, eg good friends, family, someone else who may be lonely.
4. Identify means of connecting when I cannot talk face-to-face, eg phone, messages
5. Make a connection with one or two people.",Medium
837,"I'd think about possible ways to connect to other people given the current restrictions and not being able to travel to see family. As I live with my husband we spend all our time together but it's good to prioritise 'non-work' time. I'd think about what we could do that day to spend some time together, such as going out to get a meal, a bike ride or watching a movie. We'd make a decision together about what to do.  
I'd also feel bad that I hadn't spoken to my Mum recently, so I'd pick up the phone in the afternoon and have a chat. Both of these things would make me feel more connected to my family at the end of the day. 
I'm also thinking about doing some volunteering but I'm still deciding on what I'd like to do. I think this will help me feel for connected within the community. ",Low
652,"1. Call family &/or friends.
2. Chat & organise to meet up with them for a walk or bike ride, hopefully within a 48 hour period after conversation.
3. Go meet up with them, spend time engaging in a physical activity. 
4. Discuss my feelings, & theirs.
5. Plan to make this a regular activity. If they don't want to, I'd try other family or friends etc.

",Low
41,"This is hard as I normally feel this way . All I can do at present is to make a list of people that I wish to keep in contact with. Select those I can contact, either by phone or email. My children and other close relatives are the easiest for me to speak to by phone. Others I would probably email as then I can control what I want to say. Set aside the day or time of day or to contact each person. I  also can do things where I think of a certain person. Like make a card or a present of some sort that I can give to them later. This way I feel connect and closer to them. ",Medium
348,"Contact at least one friend a day to find out how they are doing
Keep in touch via Facebook
Contact mainly through Messenger and follow up with a phone call when appropriate. 
Wave to and say hello to my neighbors in a small flat complex - I have only recently moved in and in keeping with social distancing it is a bit difficult to introduce myself properly and get to know them.
I hope this will change as restrictions ease.
Volunteer to help others who are older than me and need some interaction or help buying groceries etc. I have done this and worry that because I am 70 and new to the area that I will not receive a volunteer position.
Once restrictions ease, I would also join the local Bowls Club to join in their activities and hopefully make some new friends.    

",Medium
245,"I would reach out to people I know really well and reconnect. I would try to use the phone or facetime or even see them face to face. I would feel better hearing someone I love's voice or seeing their face. 

I would try to find new ways to meet new people. I would look into apps such as what's app and dating apps as a way to get to know new people. ",Medium
220,after the initial thought of feeling isolated think about who you would like to have contact with. contact that person or those people. Contact family members you know are alone and would appreciate a message or phone call.,Low
199,"I feel the need to be more connected with people, so I will:
Think of who I would like to connect with and the level of communication i.e is personal or work related
The ways in which I can make this happen in terms of the communication method
Is it phone? Video conference etc?
I plan the time that will work to do this and move forward with this interaction..
 being able to talk through my thoughts and feelings with others leaves me feeling much more connected and a part of the outside world",Medium
725,"I would sit and have a think about it and decide it is up to me to do something about it.  I would phone a friend or two and have a laugh over something silly, or call out to my neighbour to sit in my courtyard with me and have a coffee (correct distancing is easy).  With help have a zoom chat with family.  These things always make me happy and connected.",Low
682,"If I was feeling lonely, my actions would depend on the time of day, as my relatives are in the UK. If possible, I would start with a faceTime or phone call to my parents for a catch up chat. I would also send a message on the group WhatsApp chat with my university friends. I would also post a message on the facebook group of new mothers that I am a part of.
During the day, I would text one of my friends who is also on maternity leave and see if she is free for a walk, where we could have a chat respecting the 1.5m distance. If no-one else was free, I would go to the shops to get my food shopping, taking the opportunity to say hello to the barista at the coffee shop.",Medium
736,"Staying inside the house all day is isolating and lonely. I try to read and watch TV but that loses its appeal. I make myself do some craft activities but give up on that too. I need to talk to and interact with people. I text people on a daily basis for my own sanity and to touch base with them as well. I do zoom or facetime calls to see people. When we were allowed two visitors we had some friends from our unit block into our house for a drink and a chat. The contact and interaction helped our mindset. I started walking with my daughter some mornings and its amazing how much better I feel by being outside, doing some exercise and actually talking to a real person outside my home.(other than my husband who I talk to all day). I need social interaction as I am a very social person. I am so looking forward to the lifting of some restrictions so that we can meet some people for a picnic, or a coffee, just to see and talk to real people, not people on a computer.",Medium
821,"I would think about what I had been doing and if I had gone out for a walk or caught up with family, friends or neighbours.  Initially I would put my walking shoes on and get fresh air.   While walking I would make sure I said hello to fellow walkers as I go by.   That would make me smile and feel better about myself and the world around me.  I would look out for one of my neighbours and have a chat.  After arriving home, I would send a text or email to my family and friends to keep in touch with what they are doing and talk about whatever comes up.  ",High
1106,"I would start by thinking about the people I usually connect with and contact them by phone, text or video call to have a chat. If they are close to me, I might express how I am feeling which would help me talk through my situation. They may also come up with other ways I could feel less isolated and connect with me more, knowing how I'm feeling. I might also suggest going for a walk with someone to get some fresh air and also connect with a friend.",High
687,"I would do some mindfulness practice and notice my feelings. I would do things to make me feel better ie make a tea, put music on and think about who I could contact and evaluate my options ie face to face, video, phone or message. I would send people a message to see if they are available to catch up. Depending on the responses I would organise a catch up.",Low
651,"I would worry about my current social circle and why they aren't enough. I would think about the people I know slightly and would like to know better. I would message them on facebook and ask if they want to get together after restrictions ease, and if they would be open to chatting more. I would also try to do something for the community, like give some stuff away on the free facebook group ",High
1162,"At the beginning of lock down,  I had a strong feeling of foreboding.  I started feeling very isolated.   I then signed up for Care Army, but I was not assigned any tasks to volunteer which made me feel very despondent.  I then decided to make a list in my diary of three friends that I would ring every day. I also started making masks for various people that worked in the city.   This started giving me a feeling of self-worth and a sense of been connected.  I signed up for a survey to be done on Zoom which gave me an insight to new technology.",High
874,"To feel connected and closer to people.
Decide what to do, such as help a neighbour with mowing or meals on wheels or driving a neighbour to shops etc.
Let's do mowing which is one I currently do.
I saw neighbour struggling with the mowing of her long grass - her husband is not interested in helping out much around the house. 
I offered one day to run the mower over lawn when I was doing mine, and she was happy that I offered, and have been helping out since then - about 18 months. Only takes up a small amount of time and it is appreciated.",High
602,"I get up feeling isolated and lonley.  First off I would try to keep to my usual. I get dressed as per normal and complete my grooming.  This helps to improve you feelings.  I then talk to my dogs as I am getting them ready to go on their daily walk.  We take a route where I know we will have the opportunity to see other people whether they are regular walkers or strangers.  As you pass each person I voice a 'hello/ good morning'.  By the time we get back home we have had some small interaction with several people even if it is just a greeting.  It makes you feel better and I am sure it has made there day feel better.
You just have to make the effort and take the first step.",High
976,I feel a need to 'get out' and engage with family outside of my house.  I text my 3 children (and wife) to catch up this week-end. 2 reply positively and propose a time slot at my sons house. I contact the third to confirm arragements. The children organise a great Sunday brunch and I feel re-connected closer to my family,High
151,"Today I felt all I was alone in the world. I made a list of things to do so I could see there were other people who I could interact with and how.  I started by texting people and looking at facebook, commenting on positive things that would prove I wasn't alone. Then some phone calls to friends to see how they were coping.  I spent time with my 2 cats and 2 dogs, which calmed me. By the end of the day I knew I wasn't alone and had a great support network.





",Low
858,"I may feel frustrated that I haven't been as connected as I usually am.  May be distracted with other things taking over my life (I has elderly parents that live with me and are in their mid 80's, so very vulnerable to Covid-19).  I would think to myself that I have to make plans to reconnect with friends and family.  I may decide to find new people to connect with.  I would call or text family or friends, either individually, or in groups, to have a chat.  I may catch up with some to have a walk or catch up at their homes (by the rules).  I hope to talk about 'after' Covid-19 and how our lives may be different, as I know I have changed in many ways.  I would hope that I would feel more connected and have a support network that I can call upon, and they can rely on me.",Low
556,"Phone a friend to check in how she/he is going. Ask what they have been doing and share what I have done lately. Enquire about common interests. Ask for an opinion about a news event.
Talk to a neighbour for some minutes (while observing social distancing), at a casual meeting on the street. Take time to enquire as to their wellbeing or coping lately.
Communicate positively over social media with the same people if you share social media with them. Keep positive while showing concern where appropriate. Share a good news story. Share a funny animal photo.
Always be looking for opportunities to encourage, empathise and look forward, while avoiding complaints and negative thinking.",High
507,"I would like to feel more connected to other people and due to isolation, I am feeling isolated and lonely.  To combat this I am going to message a few friends each day, call my dad each night, organise online catch-ups with friends, interact with friends, family & acquaintances on social media. I think that these steps will ensure that although I am physically alone, I am still connected to the people in my life. ",High
810,"As a person who likes to hug my friends I feel I am missing out on the personal contact. I am not sure that there will be a time where that kind of contact will happen again. 

I will create a different way of making this connection maybe by less physical contact and more social contact instead e.g. coffees and dinner parties.",Medium
938,"I would go to social media and comment on friends and family's posts to engage with them.  This is always satisfy.  I would perhaps text a friend and arrange a time that we could talk or facetime latter in the week. I would make sure that my phone was charged up to be able to take a call.  I would think about what I want to talk to them about.  I would think about questions I should ask them about.  I also like to take photographs of nature I see on my walks and send them to people or make little videos of my walks to share with family and friends, particular to those whom I know are in strict self isolation after returning from overseas.  I would make a call or face time to family, 1 with multiple members and have a scheduled time every Sunday for this.  I generally text with friends and some times talk.  I also have quality time with my husband and sit and chat during his work breaks and I feel very close to him",Medium
782,"I would contact people, by email or phone to the ones who are far away and hope that they would reply to my advances.  Before Easter I actually worked through my contact list and sent cards/messages to everyone.
I would feel happy having had contact with those who responded, but disappointed with those who didn't bother and wonder why?  Were they too busy or just not interested?",Low
133,I am at home housework done and missing company. I have cleaned everything in site and proceed to phone a friend. No answer so I try another friend...she is a bit busy and cant talk. I am feeling rejected and still lonely. I try another friend and she was happy I phoned which made me feel wanted and we chatted for awhile until her husband needed her for something. As it was Mother's Day and my family live overseas and I dont have a partner today was a lonely day a bit more than others. I washed my car mowed my grass and felt better that I had done something constructive and also spoken to a friend. For me some days are harder than others.,High
170,"I would begin with thinking about who would be available to talk to or see. I would then send them a message, for example to my uni friends messenger group to see when they're available for a zoom catch up. I would also text or call my closest friends to see when they're free and organise a time to go for a walk at our local beach. I would then have the zoom call or go for the walk with my friend/s. ",Medium
28,"Read motivational books.   Listen to ABC radio stations.   Find solutions to tackling  self isolation through reading books and listening to quality radio programs.   
Build new routines to deal with forced self isolation.   I've built new routines: run every morning; walk every afternoon; listen to ABC Health reports every day; and listen to sermons by Joyce Meyer.   Call up family and close friends.   ",High
213,"I got up feeling isolated and lonely. I took my mobile and go to whatsapp and send a message to my family group in Brazil, nobody answer. I feel frustrated and try to call a close friend ans she didn't answer as well. I wondered if my wifi is not working well, so I turned it off and go to 4G. I tried to call another friend and she answer straight away. When I am talking to her, my phone ring and it's my other friend. Now, instead of feeling isolated I feel overwhelmed. I ask this friend if I can call her back. After talking with both friends I feel hungry, because it's 11 o'clock and I didn't have breakky yet.",Medium
192,"I would need to focus more on actually making the phone call or sending the email.  Thinking about doing it is not enough
Like when i need to push myself to go out of the house I would need to push myself to take action. If I fail one day, there is always the next.  Easier to start with someone who is not so close to me.",Medium
1050,"The day starts out with only me..thoughts of what to do to keep my mind occupied and stop the loneliness from sending me insane. I need to make sure those around me have what they need in return I have someone to talk to. I pick up the phone and talk to my friends, go out do some gardening and interact with neighbours. I log onto to computer to check emails from family and friends. I cook meals n treats for people I think might need a little company. At the end of the day, knowing I have put a smile on someone's face n given myself a reason not to be lonely I feel connected n loved with the thanks I get in return for all that I do. I may be helping others..but I'm actually helping myself.",Medium
1211,"I would really like to meet new people. Its difficult to meet new people.  I would join a group or volunteer to be around people. 
I would put myself in unfamiliar situations to try to connect to others. Talking and staying in contact with new group. ",Medium
798,"So sick of this virus shit, I miss my work mates, I miss my job, hating this feeling of not knowing. I should make a couple of calls n see how they are going, oh but wait itâ€™s me, I put everything off, Iâ€™m not going to ring. ",Low
944,"First I would ring some friends ask how they are and discuss what they have been doing and how the are coping. What new creative things they are up to. Cooking ideas. I would ask them to send me photos, I would send them photos of the garden I have renewed. Ask their opinion. I am sure talking with them, seeing there photos and reading their views would make me feel connected and a lot happier.",Low
1052,"There are several ways I could reduce the feeling of being isolated and lonely. 
The easiest is to pick up the phone and call a mate and have a chat. 
Pick up the phone and have a video chat. 
Utilise a message service to touch base, e.g. messenger, snap chat, messages, etc. 
Make plans to meet up when able to do so and have something to look forward too.
Reconnect with members of your household through activities like exercise and games.",High
1043,"I would develop a list of friends and close colleagues who I haven't spoken to in a week or so and then reach out via instant message or text to say hi and to see how everyone else is doing. 
I would assess the responses and engage firstly via video chat with those who's reply sounds like they too are feeling isolated or lonely, and then those who do not. I'd make plans to meet for an immediate socially distanced walk with those who are keen and discuss with others when we think we'll be comfortable meeting up face to face - making tentative arrangements if we can.   ",Low
340,"I would think of people I could message and what I could say. I would then find a previous message to them and Comment in the correct box about the subject I had decided to comment on. I would ask for an opinion/ answer so the lines of communication would continue. I could then ring that person to clarify some of the subject matter we were texting about. ( knowing they were near their phone as they were already communicating with me). I would feel satisfied and happy as I had received a) an answer to my question and b) connection and communication with the other person. 
I could repeat this exercise a number of times to different people to fill in some of my time. ",High
148,"I would think about who I havenâ€™t contacted or seen over the last few weeks, and what I might like to say or activities I would like to do with them, and how I might contact them. 

I would plan what times I have free to visit people or call them.

I would contact them initially by phone or social media. Some I may visit in person if they are willing and available.

",Low
1081,"I feel a bit isolated and lonely so I will contact family and friends. I would start with the person I think will be the most sympathetic and have time to chat with me for 5 - 10 minutes. Using my mobile phone I would phone that person or those persons and hopefully someone will be available to chat. If I further need a bit more encouragement/connection, I would text or email my son and ask for a Skype session (he lives overseas). We would have a quick chat 10 or 15 minutes and I would feel a lot closer after chatting to both or either parties.",High
879,"I groom myself and have a breakfast. I then connect via social media and viber with my Family group, enquiring about their doings and frame of mind. Feeling connected, I share anecdotes about my day with them, and make sure that I encourage them. I then phone a close friend and drop off some plants at her house, ensuring we keep a safe distance. ",Medium
969,"As I was beginning to feel the need for social company and a need to talk and interact with people I cared about. I would think about those people who i have positive relations and make me feel good about my self. Those people who are fun to be around.
I would ring or text to see if they were free for a visit. As my sister has a young child for whom she is the main carer and a partner who is at risk of serious complications from COVID i would have to think about social distancing while visiting.
I would then call and arrange an appropriate time to drop round.",Low
1033,"1/.First write down what i am feeling in a journal. So I write, I am feeling isolated and lonely
2/. I will brainstorm that in my journal - so i will write why am i feeling isolated and lonely then write down all the dot points that come to my mind. 
3/. I will separate out the dot points into things i can address now, things i can address later ( might need preparation or some work etc), and big picture things that i can work on in the long term.
4/. I will produce an action list : what can i do here and now, in isolation?
some of the possibilities, depending on how severe it is might be, call a telephone help line, call mental health or my doctor and make an appointment. Call some friends and family, get on social media.
5/. I would look at my routine. Can i make a regular time where i contact friends or relatives , schedule chats, join in 
online events like virtual cocktail hour, skype or video conferencing events etc.

Once i have an action list and a slot in my routine where i schedule myself to ensure that i have some social contact every day, i will act on that action list starting straight away and take steps towards the medium and long term goals as well.  I will make a commitment to keep using my journal and check in on it every day.",High
1100,"When I wake is often my worst time of the day so Iâ€™d get up and have breakfast rather than lying in bed ruminating about how lonely I feel.  I would identify my feelings with compassion and think about how best to manage them, bearing in mind what has worked for me in the past.  I need a structure and strategy not to cave in to feelings of loneliness and isolation and despair..  I would also reassure myself I have my weekly appointment with my therapist which is my safety net.  Food is important too.  I know how it affects my mood so I would make sure I eat the right things to help me feel stable and donâ€™t become too hungry.
I know that my yoga practice improves my mood, calms me, increases my creativity and energy levels so I would do that first.  It sets the scales for the day. Then Iâ€™d be ready to engage with my art practice hopefully losing myself in its flow listening to the radio or music that feels right.  I know itâ€™s important not to get overtired so I would try to pace myself.  Overdoing is as bad as not doing enough.  I might then walk or read a book depending upon whether my artwork has gone well - if it hasnâ€™t I can return to negativity and exercise helps dissolve such thoughts.  I would try not to panic over my feelings, remember they will pass and equally calm deep breathing can help.  If I feel physically tired and creatively productive I will feel satisfied with myself and my closeness and connection to others becomes stronger.",High
393,I would contact a friend and talk. Take some time out of the day to see my sister who lives close. This would make me feel happy.,Low
555,thinking not much to do today. rspca always looking for more help. ring and offer to do an extra shift. feel good to know i will be out the house and serving a purpose.staff appreciative of my help. feel great that i have a purpose. arrive home tired and know that i will sleep well. will enjoy the day at home tomorrow.,Medium
794,"I would consider reaching out to others. I would decide to reach out to those close to me, with whom I feel I can be myself and not feel social pressure. This likely includes my immediately family, some in-laws and one or two close friends. I would likely text or message a close friend or friends however that would not necessarily make me feel significantly less isolated, though I would feel more connected. If I really wanted some connection I would probably call my Mum and have a good long chat about life, as she is the person who makes me feel most loved and accepted (outside of my partner, who I live with).",High
1145,"REGULAR VISITS TO MY BEST FRIEND. EXPERIENCING NEW MENUS WITH MY WIFE. KEEPING TO NORMAL DAY ACTIVITIES (SUCH AS MAKING THE BED, FEEDING THE CHOOKS), AS I DID BEFORE THE CURRENT RESTRICTIONS. ",Medium
726,"I would reach out to family first, then close friends by phone call, text or email.  

Join a video chat group with close family.  ",Low
80,if i was in this situation I would firstly make phone contact and possibly send an email. This situation doesn't really apply to me & therefore I don't have those thoughts or feelings to solve your challenge,Low
267,"1. Decide who it is that I would like to have around to not feel so isolated 
2. Make a list if these people and how I can get in contact with them.
3. Send test messages and see if I can arrange a video call so I can see the. Face to face.
4. Organise daily or weekly catch ups so I can feel connected and able to speak to others.",Low
558,"Feeling Isolated and lonely.
Feeling Isolated and lonely.
Feeling Isolated and lonely.
Better do something about it. 
Other people might feel like this too.
Organise a time for a Zoom meeting with my training group.
Make a time. Invite people.
Run the Zoom meeting with drinks and chats.
Feeling connected and closer to people.",Medium
1059,"I would think of a person that I would like to connect with. I would call them if I thought it would be a time convenient for them, or message them. If they messaged me back and the time was convenient for me to call, I might call them and chat. If they didnâ€™t message me back , I would pray for them, and maybe call or message someone else if I still felt like connecting with someone. ",Low
788,I have a good relationship with my children so I need to make the effort to get out of the house.  I can contact the kids via messenger and see if my daughter would like to take the dogs to the beach or I can see if my son is at home and make a time to come to his place to see the grandkids and have a cup of tea.   Its easier for me to go to them rather than coming to my place.  Its just a matter of being proactive in making plans.,Medium
766,"I would get my phone and look at Instagram, maybe Facebook to see what other people are up to. Hopefully find some feel good posts/stories. I might watch some funny TikTok videos making the best of social isolation. It would make me feel like Iâ€™m not alone and not the only person feeling this way. Might share some funny memes with my kids/friends. ",Medium
659,"I am feeling isolated as I find it difficult to interrupt other peoples down time. I would like someone to talk to. I begin by reaching out with a text message as this can be answered at a time favourable to them. When an answer comes through, if positive I will try to call so I can have a much more fluid and fulfilling conversation as texting does not allow for changes in voice or to have the conversation ebb and flow with general and interesting side conversations. I start feeling better as we share stories both familiar and new about our lives. When I hang up I am feeling rejuvenated as I have connected with someone outside my immediate family or work colleagues, giving my self an emotional lift.
I could also send a message asking for a time they are available to allow me to call. I do this with my older children as this gives as a shared time where I feel comfortable chatting about everything and about nothing in particular.",High
623,I would ask myself why I hadnâ€™t made contact with others/ got involved. I would start with a list of people I should have been in touch with but havenâ€™t. I would send messages to several asking how they are. I would arrange to meet a friend on different days for a walk/coffee over the next week. I would set reminders in calendar for arrangements. I would FaceTime/call family that I havenâ€™t spoken too recently. Talking to friends family about how I am feeling and how they are coping would help me and I realised how I am not alone or isolated. I feel more connected and have some social connections to look forward to.,Medium
8,"I would try to determine why I feel isolated and lonely and what/who I am missing most. Once understanding that, I would reach out to the people I am missing most and initially contact them, asking how they are doing and seeing if they have similar issues. I wouls continue my normal avenues of contact - whcih may be exchanging messages or swapping stories/pictures or items of interest. I would try to arrange scheduled and maybe regular catch-ups with them at times that are suitable for us both/all - like perhaps a zoom meeting with a group of friends. I would help them become familiar with the technology required and facilitate a group meet - and try to use new ideas each time (perhaps a quiz or request to dress up) to keep them interesting and give us continued things to talk about. In the end this should enable me to retain my feeling of connectedness to people, just in a slightly different way to normal.",Medium
552,I would try and communicate via Facebook to friends and family. Then I would set a time to see face to face. Talk to friends about details regarding event and then I would feel connected when I see them in person,Medium
780,I would reach out to close friends and organise a video chat. With easing of restrictions would also try to organise a face to face catch up with 1 friend.,High
640,"I would think about who I would want to talk to more then anyone. Make a list of alternatives if they are unavailable. I would then think about the type of contact I could have with them, eg facetime, zoom meeting style, phone call, could I do a group call or meeting. The type I choose would depend on the other personâ€™s ability and access. Eg my mum can FaceTime but not use zoom meetings. 
I would make contact with them. I would try and remember to keep the conversation going both ways and not make it all about me, this way it would make me feel less alone. 
I could also look for online book clubs or similar that offers a new group of people with similar interests to share ideas and opinions with. 
I would also be careful how much news I watched as it can make you feel worse and more disconnected. ",Medium
402,"Reach out to family and friends via face book , phone calls or email more frequently. By responding to their request to engage with more than just one word responds. Provide them with more information about what I have been doing and sharing more information. Feeling more connected and less alone ",Medium
36,"Step 1. List friends to contact.
         2. Locate phone numbers, email addresses.
        3. Make time for this to occur. Perhaps after walk when feeling motivated?
        4. Message this person. Find a good time for-say-facetime.
Difficulty : many others are still working and on different time zones.
         5. Have a shared memory to discuss. Perhaps an old photo to share??
         6. Enjoy this time.
 ",Low
738,"I want to be more connected to people as I am feeling lonely.
I will take some time to journal what I am thinking and feeling. In this journal I will write down a list of people I would like to connect with, or have the opportunity to connect with. If I am feeling quite sad and rejected I will check on my ""badday help sheet"" for steps on my plan to help me reconnect and the contacts on there and follow the plan I have already made with my support worker. But if I am having an ordinary day I would make a list for right now.
I would check my diary for commitments and then make time to call a person on my list. If someone is busy I will reach out via sms to say Hi. If I haven't been able to get in contact and am still feeling quite isolated I will set an alarm on my phone to try to reach out again at a specific time. Then I will check my list of self care options and choose one to do while I wait for someone to be available or contact me back. My go to steps are stimulate my five senses, put on oil burner, make a cup of tea, grab my favourite soft socks for my feet, put on the music chanel and scroll through my pintrest board. 
Something that I have now is contact with a few friends overseas via twitter and Skype, so generally there is someone I can reach out to and connect with at all times. After I have talked to my friend about what is going on and discussed what is happening with them, I no longer feel so alone and isolated. ",High
831,"I would go on Facebook and see who is active.
I would ask if they had time to call.
I would try to call my mum on whats app.
If I got hold of someone I would feel more connected",Medium
1041,"  I enjoy my own company so haven't found isolation too hard.. I have enjoyed pottering around in the house and with the family I can see.  It is great not to feel any pressure to go somewhere at a certain time. We are retired so this pleasure is ours anyway, if we choose so.

I am missing my many friends.. that sense of being active within a community..
of meeting friends  face to face though we do meet on Zoom at times.
I miss my one on one deep and meaningful, heart to heart connections.
I would choose a friend to text or phone and have a chat.
I would ask if they would like to go for a walk or meet for a coffee.
If that doesnt suit them this week we can make a date for the next... The emotional connection is very positive. If I still wanted to chat I could phone another friend and do the same..",Medium
177,"For me it is helping others that makes me feel connected, so I would look at who I can help amongst my friends. I need to be careful with this as if they don't want help I feel rejected and if they do I feel like I need to tread a fine line of over helping. 
I would read social media to see who might need my help. If that doesn't show anyone then I might contact who I think needs it.",Medium
1029,"I have been making an effort to walk in a semi-regular manner for the majority of the days in the week. Quite often, the thought of walking alone may not be as appealing on one day than is has been on another. To challenge such thinking, I have contacted a friend who I have not seen for some time, and I invited him to walk along with me so that this activity may now involve some socialization to mitigate the sense of dejection that 1 emerges. Likewise, another friend is feeling dejected and ostrachised as a consequence of having insignificant inter-personal exchanges with his peers, and I have decided to act on the opportunities that have been presented by the easing of restrictions, to arrange to spend some time with him at his house to resolve our mutual sense of isolation.",High
372,I would think â€˜who havenâ€™t I talked to in a while?â€™ Most likely I would be sad that those people have not picked up a phone to call me! I would brush my ego aside and just think... blow it... Iâ€™m going to give them a call. Previously I would just text them a â€˜hiâ€™ but I figure with social distancing and more isolation at home due to CoVid.... theyâ€™d be free to take my call. Iâ€™d call my sisters first. Great! I got them on the phone. I would ask how they are going... what have you been up to. I would try to find a common ground to continue to stay in touch and make a firm time to call them again. I sort of feel connected after the phone call.... but I know it will be me making the move to reach out to them first. Would feel even more connected if they called me first next time.,High
873,I would print out some writing paper as I have been wanting to start writing letters again. Once I have got the baby down for her afternoon nap I would sit down at my desk with my nice writing pens and write a letter. I would put my phone and bluetooth eatphones on charge while I have lunch. After baby has woken up I would feed her and get her ready for a walk. I would then make sure my phone snd earphones are charged and get the pram and babies things ready. I would then go for a walk to the local park and call a family member using my bluetooth earphones so I can push the pram easily while talking.,Medium
238,"As I don't feel isolated or lonely, this will be a fantasy challenge.
Feel isolated or lonely. Ask neighbours/close friends if there is anything they need help with. Provide assistance as requested.
Realise I am not isolated or lonely. Ask close friend/neighbour for a relaxing drink to close the day on a positive note, and prepare for the next.",Low
282,"I would like to learn to use zoom so I could see my youngest grand children
I don't really experience isolation or  feel lonely I have a partner who keeps me involved in trying new things.

My eldest grandchild is coming tomorrow to teach me how to use zoom, tic toc and skype. Hooray",High
107,"Prepare a list of friends or other people I know who I have not heard from for a while. 
Reach out to them by email or phone to start a conversation with them. Perhaps plan a future event with them once restrictions are lifted for example a camping trip, a walking trip, coffee or lunch.  Talk to my husband about future activities. 
FaceTime with family and particularly grandchildren. 
Contact my cousin overseas. 
Consider what business affairs I can handle by phone or email and then act upon them.  This would result in responses being received and perhaps further engagement. 
After the above engagements with others I would feel closer to many people, perhaps have achieved some business outcomes and have some future activities and engagements to look forward to. ",Medium
