"Participant","Duration.x","Date.x","Image_Action.x","Image_People.x","Image_Emotion.x","Image_Vivid.x","Rater2.x","Q1","Q2","Q3","Q4","Q1.new","Q2.new","Q3.new","Q4.new","Steps","Effective","Concrete","Emotion"
575,1051,"13/05/2020 21:47","Most of the time","Most of the time","Most of the time","Moderately clear and lively","",1,2,2,3,1,2,2,3,1,2,2,3
576,981,"13/05/2020 21:55","Sometimes","Sometimes","Sometimes","Moderately clear and lively","",2,3,1,3,2,3,1,3,2,3,1,3
577,1253,"13/05/2020 22:04","Sometimes","About half the time","About half the time","Clear and lively","",7,4,4,3,7,4,4,3,7,4,4,3
578,1027,"13/05/2020 22:07","All/almost all of the time","All/almost all of the time","All/almost all of the time","Perfectly clear and lively as real seeing","",1,1,1,4,1,1,1,4,1,1,1,4
579,700,"13/05/2020 22:12","Sometimes","Sometimes","Sometimes","No image at all, you only “know” that you are thinking of the object","AM",1,2,2,3,0.5,1,1,1.5,0.5,1,1,1.5
580,1031,"13/05/2020 22:16","Not at all","Sometimes","Sometimes","No image at all, you only “know” that you are thinking of the object","",0,0,0,0,0,0,0,0,0,0,0,0
581,906,"13/05/2020 22:18","Sometimes","Sometimes","Sometimes","Clear and lively","",3,5,5,5,3,5,5,5,3,5,5,5
582,1037,"13/05/2020 22:19","About half the time","All/almost all of the time","Sometimes","Moderately clear and lively","",4,4,4,3,4,4,4,3,4,4,4,3
583,1544,"13/05/2020 22:21","Sometimes","Not at all","Sometimes","Moderately clear and lively","CP",5,5,5,6,2.5,2.5,2.5,3,2.5,2.5,2.5,3
584,5727,"13/05/2020 22:23","Sometimes","Most of the time","Most of the time","Clear and lively","LL",3,3,3,4,1.5,1.5,1.5,2,1.5,1.5,1.5,2
585,4442,"13/05/2020 22:34","Sometimes","Sometimes","Sometimes","Dim & vague, flat","",2,3,4,3,2,3,4,3,2,3,4,3
586,1484,"13/05/2020 22:41","Sometimes","About half the time","Most of the time","Moderately clear and lively","LL",2,2,2,3,1,1,1,1.5,1,1,1,1.5
587,968,"13/05/2020 22:44","Sometimes","Sometimes","Sometimes","Dim & vague, flat","",2,1,2,3,2,1,2,3,2,1,2,3
588,934,"13/05/2020 22:58","Sometimes","Not at all","Most of the time","No image at all, you only “know” that you are thinking of the object","",3,3,4,4,3,3,4,4,3,3,4,4
589,8935,"13/05/2020 23:02","All/almost all of the time","Most of the time","Most of the time","Clear and lively","",6,3,4,3,6,3,4,3,6,3,4,3
590,1160,"13/05/2020 23:04","Sometimes","About half the time","Most of the time","Clear and lively","",4,5,5,5,4,5,5,5,4,5,5,5
591,571,"13/05/2020 23:06","Not at all","Not at all","Not at all","No image at all, you only “know” that you are thinking of the object","",0,1,2,1,0,1,2,1,0,1,2,1
592,1105,"13/05/2020 23:08","About half the time","Most of the time","Most of the time","Perfectly clear and lively as real seeing","",3,2,2,2,3,2,2,2,3,2,2,2
593,1524,"13/05/2020 23:08","All/almost all of the time","All/almost all of the time","All/almost all of the time","Perfectly clear and lively as real seeing","",4,4,4,4,4,4,4,4,4,4,4,4
594,2109,"13/05/2020 23:10","Not at all","Not at all","Sometimes","No image at all, you only “know” that you are thinking of the object","KH",3,5,4,4,1.5,2.5,2,2,1.5,2.5,2,2
595,2206,"13/05/2020 23:13","Not at all","Sometimes","Most of the time","Perfectly clear and lively as real seeing","",0,0,0,0,0,0,0,0,0,0,0,0
596,996,"13/05/2020 23:24","All/almost all of the time","Not at all","All/almost all of the time","Perfectly clear and lively as real seeing","",5,3,3,1,5,3,3,1,5,3,3,1
597,1500,"13/05/2020 23:25","Sometimes","Sometimes","All/almost all of the time","Moderately clear and lively","",4,4,4,4,4,4,4,4,4,4,4,4
598,1002,"13/05/2020 23:26","Most of the time","Most of the time","About half the time","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
599,1576,"13/05/2020 23:27","Not at all","Not at all","Sometimes","Clear and lively","",3,4,5,3,3,4,5,3,3,4,5,3
600,3303,"13/05/2020 23:33","Sometimes","Sometimes","Sometimes","Clear and lively","LL",0,0,0,0,0,0,0,0,0,0,0,0
601,19356,"13/05/2020 23:36","Most of the time","Most of the time","All/almost all of the time","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
602,1859,"13/05/2020 23:37","About half the time","Most of the time","Sometimes","Clear and lively","",6,3,3,3,6,3,3,3,6,3,3,3
603,2092,"13/05/2020 23:40","Sometimes","Sometimes","Sometimes","Dim & vague, flat","AM",8,6,5,6,4,3,2.5,3,4,3,2.5,3
604,934,"13/05/2020 23:42","Sometimes","Sometimes","Sometimes","Clear and lively","CP",7,5,5,7.5,3.5,2.5,2.5,3.75,3.5,2.5,2.5,3.75
605,1999,"13/05/2020 23:42","Sometimes","Sometimes","About half the time","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
606,1142,"13/05/2020 23:45","All/almost all of the time","All/almost all of the time","Not at all","No image at all, you only “know” that you are thinking of the object","CP",8,7,7,8,4,3.5,3.5,4,4,3.5,3.5,4
607,1763,"13/05/2020 23:45","Sometimes","Sometimes","Sometimes","Dim & vague, flat","",0,1,1,4,0,1,1,4,0,1,1,4
608,15806,"13/05/2020 23:52","Not at all","About half the time","Most of the time","Moderately clear and lively","",2,2,2,5,2,2,2,5,2,2,2,5
609,1266,"13/05/2020 23:54","Most of the time","Most of the time","About half the time","Clear and lively","",4,4,3,3,4,4,3,3,4,4,3,3
610,1024,"13/05/2020 23:59","Not at all","Not at all","Not at all","Perfectly clear and lively as real seeing","",0,1,1,3,0,1,1,3,0,1,1,3
611,661,"14/05/2020 0:04","Sometimes","About half the time","Sometimes","Dim & vague, flat","",3,3,2,3,3,3,2,3,3,3,2,3
612,1662,"14/05/2020 0:07","Not at all","Sometimes","Sometimes","Moderately clear and lively","LL",0,0,0,0,0,0,0,0,0,0,0,0
613,1264,"14/05/2020 0:07","Sometimes","Sometimes","About half the time","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
614,846,"14/05/2020 0:16","Sometimes","Sometimes","Sometimes","Clear and lively","",2,2,3,2,2,2,3,2,2,2,3,2
615,524,"14/05/2020 0:20","Not at all","Not at all","Not at all","No image at all, you only “know” that you are thinking of the object","",0,1,1,1,0,1,1,1,0,1,1,1
616,1906,"14/05/2020 0:24","About half the time","Most of the time","Most of the time","Moderately clear and lively","KH",2,2,2,4,1,1,1,2,1,1,1,2
617,1099,"14/05/2020 0:29","Most of the time","Sometimes","Sometimes","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
618,582,"14/05/2020 0:30","Most of the time","Most of the time","Most of the time","Moderately clear and lively","",4,3,2,3,4,3,2,3,4,3,2,3
619,1806,"14/05/2020 0:32","About half the time","About half the time","Sometimes","Moderately clear and lively","",4,4,4,3,4,4,4,3,4,4,4,3
620,5240,"14/05/2020 0:34","Sometimes","Most of the time","About half the time","Moderately clear and lively","",3,4,4,3,3,4,4,3,3,4,4,3
621,869,"14/05/2020 0:39","Most of the time","All/almost all of the time","All/almost all of the time","Clear and lively","",5,5,5,4,5,5,5,4,5,5,5,4
622,6866,"14/05/2020 0:47","Most of the time","Most of the time","Most of the time","Moderately clear and lively","AM",4,6,7,8,2,3,3.5,4,2,3,3.5,4
623,2342,"14/05/2020 0:53","Most of the time","About half the time","All/almost all of the time","Clear and lively","",3,3,3,3,3,3,3,3,3,3,3,3
624,1398,"14/05/2020 1:02","Sometimes","About half the time","Most of the time","Moderately clear and lively","",4,5,5,4,4,5,5,4,4,5,5,4
625,1024,"14/05/2020 1:06","Not at all","Not at all","Most of the time","Clear and lively","",9,4,4,4,9,4,4,4,9,4,4,4
626,632,"14/05/2020 1:10","About half the time","About half the time","About half the time","Moderately clear and lively","LL",1,2,1,3,0.5,1,0.5,1.5,0.5,1,0.5,1.5
627,1200,"14/05/2020 1:19","About half the time","Most of the time","About half the time","Clear and lively","KH",3,3,4,3,1.5,1.5,2,1.5,1.5,1.5,2,1.5
628,1004,"14/05/2020 1:22","Sometimes","Sometimes","Most of the time","Moderately clear and lively","",3,2,2,3,3,2,2,3,3,2,2,3
629,5611,"14/05/2020 1:22","Not at all","All/almost all of the time","Most of the time","Perfectly clear and lively as real seeing","JL",11,8,7,8,5.5,4,3.5,4,5.5,4,3.5,4
630,963,"14/05/2020 1:46","All/almost all of the time","All/almost all of the time","All/almost all of the time","Perfectly clear and lively as real seeing","",0,0,0,0,0,0,0,0,0,0,0,0
631,1508,"14/05/2020 1:50","About half the time","About half the time","Most of the time","Moderately clear and lively","KH",3,3,2,3,1.5,1.5,1,1.5,1.5,1.5,1,1.5
632,375,"14/05/2020 1:53","About half the time","About half the time","About half the time","Clear and lively","",3,3,4,3,3,3,4,3,3,3,4,3
633,1993,"14/05/2020 1:57","Most of the time","Most of the time","Most of the time","No image at all, you only “know” that you are thinking of the object","",0,0,0,0,0,0,0,0,0,0,0,0
634,371,"14/05/2020 1:58","Sometimes","Sometimes","Sometimes","Moderately clear and lively","",2,4,3,3,2,4,3,3,2,4,3,3
635,1718,"14/05/2020 2:09","Not at all","Sometimes","Sometimes","No image at all, you only “know” that you are thinking of the object","",0,1,1,3,0,1,1,3,0,1,1,3
636,4727,"14/05/2020 2:13","Not at all","Sometimes","Sometimes","Moderately clear and lively","",4,5,5,5,4,5,5,5,4,5,5,5
637,1532,"14/05/2020 2:14","Most of the time","Most of the time","Most of the time","Moderately clear and lively","",3,3,4,3,3,3,4,3,3,3,4,3
638,4746,"14/05/2020 2:19","Most of the time","Sometimes","Sometimes","Perfectly clear and lively as real seeing","",2,4,3,3,2,4,3,3,2,4,3,3
639,7922,"14/05/2020 2:20","Most of the time","Most of the time","About half the time","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
640,2486,"14/05/2020 2:25","Sometimes","Most of the time","About half the time","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
641,1781,"14/05/2020 2:29","Sometimes","Most of the time","Sometimes","Dim & vague, flat","",0,0,0,0,0,0,0,0,0,0,0,0
642,693,"14/05/2020 2:30","Sometimes","Sometimes","Sometimes","Dim & vague, flat","",1,1,1,3,1,1,1,3,1,1,1,3
643,1672,"14/05/2020 2:32","Most of the time","Most of the time","Most of the time","Clear and lively","",5,3,4,3,5,3,4,3,5,3,4,3
644,2851,"14/05/2020 2:42","Sometimes","Most of the time","Sometimes","Moderately clear and lively","",4,3,3,4,4,3,3,4,4,3,3,4
645,1276,"14/05/2020 2:47","Sometimes","All/almost all of the time","All/almost all of the time","Clear and lively","",2,3,2,5,2,3,2,5,2,3,2,5
646,2654,"14/05/2020 2:48","Sometimes","Most of the time","Most of the time","Moderately clear and lively","",7,5,5,4,7,5,5,4,7,5,5,4
647,1018,"14/05/2020 2:50","Sometimes","Most of the time","Most of the time","Moderately clear and lively","",2,4,4,3,2,4,4,3,2,4,4,3
648,114,"14/05/2020 2:50","","","","","",0,0,0,0,0,0,0,0,0,0,0,0
649,1525,"14/05/2020 2:53","Not at all","Not at all","Not at all","No image at all, you only “know” that you are thinking of the object","",0,0,0,0,0,0,0,0,0,0,0,0
650,946,"14/05/2020 2:57","About half the time","Sometimes","Sometimes","Moderately clear and lively","JL",6,6,6,6,3,3,3,3,3,3,3,3
651,822,"14/05/2020 2:59","Most of the time","Most of the time","About half the time","Moderately clear and lively","",2,2,2,3,2,2,2,3,2,2,2,3
652,930,"14/05/2020 3:09","Most of the time","All/almost all of the time","All/almost all of the time","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
653,2049,"14/05/2020 3:12","Not at all","All/almost all of the time","Most of the time","Clear and lively","JL",4,6,5,6,2,3,2.5,3,2,3,2.5,3
654,2091,"14/05/2020 3:13","Most of the time","All/almost all of the time","Most of the time","Clear and lively","",2,3,2,3,2,3,2,3,2,3,2,3
655,8002,"14/05/2020 3:16","Sometimes","Sometimes","Not at all","Moderately clear and lively","AM",8,8,6,7,4,4,3,3.5,4,4,3,3.5
656,562,"14/05/2020 3:27","Not at all","Not at all","Not at all","Perfectly clear and lively as real seeing","",0,0,0,0,0,0,0,0,0,0,0,0
657,1034,"14/05/2020 3:31","Not at all","Not at all","Not at all","No image at all, you only “know” that you are thinking of the object","",0,0,0,0,0,0,0,0,0,0,0,0
658,2880,"14/05/2020 3:35","Not at all","Not at all","Not at all","No image at all, you only “know” that you are thinking of the object","",8,4,5,4,8,4,5,4,8,4,5,4
659,23886,"14/05/2020 3:37","Not at all","Sometimes","All/almost all of the time","Dim & vague, flat","",1,3,2,5,1,3,2,5,1,3,2,5
660,541,"14/05/2020 3:41","Not at all","Not at all","Not at all","Perfectly clear and lively as real seeing","KH",0,1,1,3,0,0.5,0.5,1.5,0,0.5,0.5,1.5
661,3173,"14/05/2020 3:44","About half the time","About half the time","Most of the time","Moderately clear and lively","JL",7,6,8,7,3.5,3,4,3.5,3.5,3,4,3.5
662,1168,"14/05/2020 3:44","Sometimes","Sometimes","About half the time","Moderately clear and lively","",2,3,2,4,2,3,2,4,2,3,2,4
663,2310,"14/05/2020 3:45","Not at all","Not at all","About half the time","Perfectly clear and lively as real seeing","JS",0,0,0,0,0,0,0,0,0,0,0,0
664,736,"14/05/2020 3:46","Sometimes","All/almost all of the time","About half the time","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
665,6850,"14/05/2020 3:46","Most of the time","All/almost all of the time","Most of the time","Moderately clear and lively","",3,4,3,4,3,4,3,4,3,4,3,4
666,4823,"14/05/2020 3:48","Sometimes","Most of the time","About half the time","Moderately clear and lively","",2,4,5,3,2,4,5,3,2,4,5,3
667,65,"14/05/2020 3:51","","","","","",0,0,0,0,0,0,0,0,0,0,0,0
668,2686,"14/05/2020 3:53","Most of the time","Most of the time","All/almost all of the time","Clear and lively","",2,4,4,4,2,4,4,4,2,4,4,4
669,1247,"14/05/2020 3:56","","","","","KH",0,0,0,0,0,0,0,0,0,0,0,0
670,694,"14/05/2020 4:06","All/almost all of the time","Most of the time","Sometimes","Perfectly clear and lively as real seeing","KH",2,3,2,4,1,1.5,1,2,1,1.5,1,2
671,1366,"14/05/2020 4:15","About half the time","All/almost all of the time","Most of the time","Perfectly clear and lively as real seeing","",7,4,3,3,7,4,3,3,7,4,3,3
672,2137,"14/05/2020 4:22","Sometimes","Sometimes","About half the time","No image at all, you only “know” that you are thinking of the object","",5,4,3,3,5,4,3,3,5,4,3,3
673,989,"14/05/2020 4:27","Most of the time","Most of the time","About half the time","Clear and lively","",2,3,2,3,2,3,2,3,2,3,2,3
674,2512,"14/05/2020 4:34","About half the time","Most of the time","Most of the time","Clear and lively","",7,5,5,5,7,5,5,5,7,5,5,5
675,2869,"14/05/2020 4:37","Sometimes","Most of the time","About half the time","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
676,2622,"14/05/2020 4:39","About half the time","Most of the time","All/almost all of the time","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
677,1658,"14/05/2020 4:40","Not at all","About half the time","About half the time","No image at all, you only “know” that you are thinking of the object","",4,4,4,3,4,4,4,3,4,4,4,3
678,2851,"14/05/2020 4:52","Sometimes","Sometimes","About half the time","Dim & vague, flat","",0,0,0,0,0,0,0,0,0,0,0,0
679,1613,"14/05/2020 5:02","Not at all","Sometimes","Not at all","Dim & vague, flat","",5,3,3,3,5,3,3,3,5,3,3,3
680,15116,"14/05/2020 5:03","About half the time","About half the time","Most of the time","Dim & vague, flat","LL",0,0,0,0,0,0,0,0,0,0,0,0
681,2625,"14/05/2020 5:09","Not at all","Sometimes","Sometimes","Clear and lively","JL",2,6,6,8,1,3,3,4,1,3,3,4
682,1784,"14/05/2020 5:11","Not at all","Sometimes","Sometimes","Dim & vague, flat","",3,2,2,3,3,2,2,3,3,2,2,3
683,1509,"14/05/2020 5:20","","","","","",0,0,0,0,0,0,0,0,0,0,0,0
684,1582,"14/05/2020 5:25","Sometimes","About half the time","Sometimes","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
685,1184,"14/05/2020 5:29","Sometimes","All/almost all of the time","Sometimes","Clear and lively","",6,4,3,3,6,4,3,3,6,4,3,3
686,2155,"14/05/2020 5:38","Sometimes","Not at all","Sometimes","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
687,1005,"14/05/2020 5:41","About half the time","Sometimes","Most of the time","Moderately clear and lively","",3,4,4,3,3,4,4,3,3,4,4,3
688,1299,"14/05/2020 5:48","Sometimes","Not at all","Not at all","No image at all, you only “know” that you are thinking of the object","JS",3,3,3,4,1.5,1.5,1.5,2,1.5,1.5,1.5,2
689,571,"14/05/2020 5:52","About half the time","Most of the time","Most of the time","Clear and lively","AM",3,3,2,4,1.5,1.5,1,2,1.5,1.5,1,2
690,1717,"14/05/2020 5:58","Most of the time","Most of the time","Sometimes","Clear and lively","CP",6,7,6,6,3,3.5,3,3,3,3.5,3,3
691,633,"14/05/2020 6:03","About half the time","Sometimes","About half the time","Moderately clear and lively","",3,2,2,3,3,2,2,3,3,2,2,3
692,1252,"14/05/2020 6:04","Sometimes","Sometimes","Sometimes","Moderately clear and lively","",1,2,2,3,1,2,2,3,1,2,2,3
693,445,"14/05/2020 6:10","","","","","",0,0,0,0,0,0,0,0,0,0,0,0
694,1276,"14/05/2020 6:12","Sometimes","Not at all","Most of the time","Clear and lively","",1,3,2,5,1,3,2,5,1,3,2,5
695,1988,"14/05/2020 6:17","Sometimes","About half the time","Sometimes","No image at all, you only “know” that you are thinking of the object","",2,3,4,3,2,3,4,3,2,3,4,3
696,814,"14/05/2020 6:50","About half the time","Most of the time","Not at all","No image at all, you only “know” that you are thinking of the object","",4,3,3,2,4,3,3,2,4,3,3,2
697,1380,"14/05/2020 6:56","About half the time","About half the time","About half the time","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
698,895,"14/05/2020 6:59","Most of the time","Sometimes","About half the time","No image at all, you only “know” that you are thinking of the object","",2,3,2,3,2,3,2,3,2,3,2,3
699,1427,"14/05/2020 7:30","About half the time","Most of the time","Most of the time","Moderately clear and lively","JL",4,6,5,6,2,3,2.5,3,2,3,2.5,3
700,880,"14/05/2020 7:42","Not at all","Sometimes","Most of the time","Clear and lively","",2,3,2,3,2,3,2,3,2,3,2,3
701,956,"14/05/2020 8:15","Sometimes","Sometimes","About half the time","Dim & vague, flat","",0,0,0,0,0,0,0,0,0,0,0,0
702,2545,"14/05/2020 8:41","Most of the time","All/almost all of the time","Most of the time","Moderately clear and lively","",5,3,4,5,5,3,4,5,5,3,4,5
703,1609,"14/05/2020 10:34","Most of the time","Most of the time","Most of the time","Clear and lively","",2,2,2,3,2,2,2,3,2,2,2,3
704,62459,"14/05/2020 11:16","About half the time","About half the time","Most of the time","Moderately clear and lively","JS",3,4,4,3,1.5,2,2,1.5,1.5,2,2,1.5
705,1999,"14/05/2020 12:34","All/almost all of the time","All/almost all of the time","All/almost all of the time","Perfectly clear and lively as real seeing","AM",11,9,9,10,5.5,4.5,4.5,5,5.5,4.5,4.5,5
706,1570,"14/05/2020 13:53","Sometimes","Sometimes","Sometimes","Clear and lively","",3,2,2,3,3,2,2,3,3,2,2,3
707,1203,"14/05/2020 14:05","Not at all","Not at all","Not at all","No image at all, you only “know” that you are thinking of the object","",1,1,1,2,1,1,1,2,1,1,1,2
708,765,"14/05/2020 14:17","Sometimes","All/almost all of the time","Most of the time","Perfectly clear and lively as real seeing","AM",5,7,4,7,2.5,3.5,2,3.5,2.5,3.5,2,3.5
709,1605,"14/05/2020 14:32","Sometimes","Most of the time","All/almost all of the time","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
710,1125,"14/05/2020 14:53","Not at all","All/almost all of the time","All/almost all of the time","Clear and lively","",6,4,4,3,6,4,4,3,6,4,4,3
711,1626,"14/05/2020 15:20","About half the time","Sometimes","About half the time","Moderately clear and lively","JL",6,7,6,6,3,3.5,3,3,3,3.5,3,3
712,3586,"14/05/2020 15:32","Most of the time","Most of the time","Sometimes","Perfectly clear and lively as real seeing","",3,4,4,3,3,4,4,3,3,4,4,3
713,204122,"14/05/2020 15:32","Sometimes","Sometimes","About half the time","Moderately clear and lively","",8,4,3,3,8,4,3,3,8,4,3,3
714,921,"14/05/2020 15:34","Not at all","Most of the time","About half the time","Moderately clear and lively","",1,2,2,3,1,2,2,3,1,2,2,3
715,2170,"14/05/2020 15:36","Most of the time","All/almost all of the time","About half the time","Moderately clear and lively","",2,4,4,3,2,4,4,3,2,4,4,3
716,559,"14/05/2020 15:46","Not at all","Not at all","Not at all","No image at all, you only “know” that you are thinking of the object","LL",0,0,0,0,0,0,0,0,0,0,0,0
717,745,"14/05/2020 16:03","Sometimes","Sometimes","Sometimes","Clear and lively","",4,2,3,4,4,2,3,4,4,2,3,4
718,651,"14/05/2020 16:07","Not at all","Sometimes","Sometimes","Clear and lively","",0,1,1,1,0,1,1,1,0,1,1,1
719,555,"14/05/2020 16:08","Not at all","About half the time","All/almost all of the time","No image at all, you only “know” that you are thinking of the object","",3,3,4,3,3,3,4,3,3,3,4,3
720,1155,"14/05/2020 16:10","Most of the time","Most of the time","Sometimes","Clear and lively","",5,2,2,3,5,2,2,3,5,2,2,3
721,1054,"14/05/2020 16:20","Most of the time","Most of the time","All/almost all of the time","Dim & vague, flat","",4,3,3,4,4,3,3,4,4,3,3,4
722,1315,"14/05/2020 16:23","Most of the time","Most of the time","About half the time","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
723,703,"14/05/2020 16:25","Sometimes","Most of the time","Most of the time","Clear and lively","JL",4,7,7,6,2,3.5,3.5,3,2,3.5,3.5,3
724,1147,"14/05/2020 16:25","Sometimes","About half the time","Sometimes","Clear and lively","AM",6,6,5,7,3,3,2.5,3.5,3,3,2.5,3.5
725,1921,"14/05/2020 16:26","Most of the time","Most of the time","Most of the time","Moderately clear and lively","",4,3,4,5,4,3,4,5,4,3,4,5
726,590,"14/05/2020 16:35","Not at all","Not at all","Not at all","Moderately clear and lively","KH",5,3,2,3,2.5,1.5,1,1.5,2.5,1.5,1,1.5
727,529,"14/05/2020 16:49","Sometimes","Sometimes","About half the time","No image at all, you only “know” that you are thinking of the object","",2,3,2,3,2,3,2,3,2,3,2,3
728,643,"14/05/2020 16:50","About half the time","About half the time","About half the time","Perfectly clear and lively as real seeing","",0,0,0,0,0,0,0,0,0,0,0,0
729,1196,"14/05/2020 16:54","Not at all","Most of the time","Sometimes","Moderately clear and lively","",3,3,2,5,3,3,2,5,3,3,2,5
730,805,"14/05/2020 16:57","Sometimes","Not at all","Sometimes","No image at all, you only “know” that you are thinking of the object","",2,3,1,3,2,3,1,3,2,3,1,3
731,9988,"14/05/2020 16:58","All/almost all of the time","All/almost all of the time","All/almost all of the time","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
732,497,"14/05/2020 17:02","Most of the time","All/almost all of the time","Most of the time","Moderately clear and lively","LL",2,3,3,3,1,1.5,1.5,1.5,1,1.5,1.5,1.5
733,829,"14/05/2020 17:10","About half the time","About half the time","About half the time","Clear and lively","",1,4,3,3,1,4,3,3,1,4,3,3
734,1708,"14/05/2020 17:11","Most of the time","Most of the time","All/almost all of the time","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
735,757,"14/05/2020 17:15","All/almost all of the time","All/almost all of the time","Most of the time","Perfectly clear and lively as real seeing","",1,2,2,4,1,2,2,4,1,2,2,4
736,1140,"14/05/2020 17:19","Sometimes","All/almost all of the time","Most of the time","Clear and lively","JL",2,3,4,3,1,1.5,2,1.5,1,1.5,2,1.5
737,4286,"14/05/2020 17:19","Most of the time","About half the time","All/almost all of the time","Moderately clear and lively","LL",0,0,0,0,0,0,0,0,0,0,0,0
738,1224,"14/05/2020 17:23","Most of the time","All/almost all of the time","All/almost all of the time","Perfectly clear and lively as real seeing","",2,3,4,3,2,3,4,3,2,3,4,3
739,1060,"14/05/2020 17:28","Most of the time","Most of the time","Most of the time","Moderately clear and lively","",4,3,3,3,4,3,3,3,4,3,3,3
740,1140,"14/05/2020 17:33","Sometimes","Sometimes","Sometimes","Dim & vague, flat","",4,3,3,2,4,3,3,2,4,3,3,2
741,2531,"14/05/2020 17:34","Sometimes","Most of the time","Sometimes","Moderately clear and lively","",3,3,3,3,3,3,3,3,3,3,3,3
742,1616,"14/05/2020 17:35","About half the time","About half the time","Most of the time","Moderately clear and lively","",6,4,5,4,6,4,5,4,6,4,5,4
743,855,"14/05/2020 17:38","About half the time","About half the time","Sometimes","Moderately clear and lively","",5,4,4,3,5,4,4,3,5,4,4,3
744,1220,"14/05/2020 17:41","About half the time","Most of the time","Most of the time","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
745,1766,"14/05/2020 17:42","All/almost all of the time","All/almost all of the time","All/almost all of the time","Clear and lively","",4,4,4,3,4,4,4,3,4,4,4,3
746,960,"14/05/2020 17:45","Sometimes","About half the time","Sometimes","Clear and lively","",3,4,4,5,3,4,4,5,3,4,4,5
747,779,"14/05/2020 17:52","Sometimes","Most of the time","Sometimes","Moderately clear and lively","",2,2,1,3,2,2,1,3,2,2,1,3
748,933,"14/05/2020 17:53","Most of the time","Most of the time","Most of the time","Moderately clear and lively","CP",5,4,4,6,2.5,2,2,3,2.5,2,2,3
749,1101,"14/05/2020 17:53","Sometimes","Sometimes","Not at all","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
750,808,"14/05/2020 17:58","Sometimes","Sometimes","Sometimes","Moderately clear and lively","",6,5,5,3,6,5,5,3,6,5,5,3
751,1854,"14/05/2020 18:00","Sometimes","Sometimes","Most of the time","Moderately clear and lively","JL",3,3,4,3,1.5,1.5,2,1.5,1.5,1.5,2,1.5
752,2677,"14/05/2020 18:01","Not at all","Sometimes","Sometimes","No image at all, you only “know” that you are thinking of the object","",0,0,0,0,0,0,0,0,0,0,0,0
753,796,"14/05/2020 18:06","Sometimes","About half the time","Not at all","Moderately clear and lively","",1,2,2,3,1,2,2,3,1,2,2,3
754,653,"14/05/2020 18:11","Most of the time","Most of the time","Most of the time","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
755,11839,"14/05/2020 18:12","About half the time","About half the time","Sometimes","Dim & vague, flat","",3,3,3,3,3,3,3,3,3,3,3,3
756,687,"14/05/2020 18:14","Sometimes","Sometimes","About half the time","Moderately clear and lively","",3,2,2,3,3,2,2,3,3,2,2,3
757,5639,"14/05/2020 18:15","Not at all","About half the time","Most of the time","Moderately clear and lively","CP",4,2,2,2,2,1,1,1,2,1,1,1
758,693,"14/05/2020 18:16","Sometimes","Most of the time","About half the time","Moderately clear and lively","",4,3,4,3,4,3,4,3,4,3,4,3
759,1001,"14/05/2020 18:18","All/almost all of the time","Sometimes","All/almost all of the time","Clear and lively","",1,2,2,4,1,2,2,4,1,2,2,4
760,762,"14/05/2020 18:23","Not at all","Not at all","Not at all","No image at all, you only “know” that you are thinking of the object","",5,3,2,3,5,3,2,3,5,3,2,3
761,1685,"14/05/2020 18:25","About half the time","Most of the time","Most of the time","Dim & vague, flat","",0,0,0,0,0,0,0,0,0,0,0,0
762,5209,"14/05/2020 18:31","Not at all","Sometimes","Sometimes","Moderately clear and lively","",2,4,5,5,2,4,5,5,2,4,5,5
763,1406,"14/05/2020 18:35","Most of the time","All/almost all of the time","All/almost all of the time","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
764,1278,"14/05/2020 18:39","Not at all","All/almost all of the time","Not at all","Moderately clear and lively","",2,4,3,3,2,4,3,3,2,4,3,3
765,1336,"14/05/2020 18:40","Sometimes","About half the time","Most of the time","Clear and lively","AM",2,5,4,7,1,2.5,2,3.5,1,2.5,2,3.5
766,506,"14/05/2020 18:41","Not at all","Not at all","Not at all","Perfectly clear and lively as real seeing","",0,0,0,0,0,0,0,0,0,0,0,0
